file,class,method,variable,usage
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",defaultCharsetName,3
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",firstReadBufferSize,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",UTF_8,3
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",bufferSize,3
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,mimeBoundary/0,boundaryLength,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,mimeBoundary/0,mimeBoundaryChars,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],charsetPattern,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"readToByteBuffer/2[java.io.InputStream,int]",bufferSize,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"crossStreams/2[java.io.InputStream,java.io.OutputStream]",bufferSize,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$IndexEvaluator,IndexEvaluator/1[int],index,3
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$ContainsWholeText,toString/0,searchText,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$ContainsWholeText,"matches/2[org.jsoup.nodes.Element,org.jsoup.nodes.Element]",searchText,1
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$ContainsWholeText,ContainsWholeText/1[java.lang.String],searchText,3
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,onlyChild/0,html,2
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,init/0,html,1
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,init/0,htmlString,1
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,nthOfType_advanced/0,html,10
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,firstChild/0,html,2
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,initClass/0,htmlString,1
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,nthLastOfType_simple/0,html,1
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,empty/0,html,1
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,lastChild/0,html,2
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,nthLastChild_advanced/0,html,10
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,nthChild_advanced/0,html,10
C:\Users\syuuj\jsoup\src\test\java\org\jsoup\select\CssTest.java,org.jsoup.select.CssTest,root/0,html,2
