file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,emptyByteBuffer/0,false,255,0,1,1,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,8,0,false
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,getCharsetFromContentType/1[java.lang.String],false,265,2,9,8,1,3,6,10,3,2,1,6,1,1,0,1,0,0,2,1,3,0,1,0,0,0,31,8,0,true
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.File,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,83,5,4,2,2,4,6,15,1,3,4,6,1,3,0,2,1,1,2,2,4,0,2,0,0,0,64,9,0,true
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"parseInputStream/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,139,15,32,10,22,29,40,82,2,13,4,40,4,2,1,13,4,1,10,7,29,1,6,0,0,0,69,8,0,false
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,mimeBoundary/0,false,292,1,4,2,2,2,4,8,1,3,0,4,0,0,1,0,0,0,0,1,3,0,1,0,0,0,15,8,0,true
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,DataUtil/0,true,52,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,false
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,detectCharsetFromBom/1[java.nio.ByteBuffer],false,301,3,2,1,1,17,4,19,4,2,1,4,0,0,0,15,0,0,4,31,2,0,1,0,0,0,16,10,0,false
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/4[java.io.InputStream,java.lang.String,java.lang.String,org.jsoup.parser.Parser]",false,121,5,2,1,1,1,1,3,1,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,42,9,0,true
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"load/3[java.io.InputStream,java.lang.String,java.lang.String]",false,108,5,3,1,2,1,2,3,1,0,3,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,37,9,0,true
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\DataUtil.java,org.jsoup.helper.DataUtil,"readToByteBuffer/2[java.io.InputStream,int]",false,249,2,8,5,3,2,3,5,1,1,2,3,0,0,0,0,0,0,1,1,1,0,0,0,0,0,52,9,0,true
