file,class,NprotM,BOvR,ATFD,ATLD,LAA,BUR,FDP
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\CookieUtil.java,org.jsoup.helper.CookieUtil,0.0,-1.0,7.0,5.0,0.41666666,-1.0,4.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\CombiningEvaluator.java,org.jsoup.select.CombiningEvaluator$Or,0.0,0.33333334,1.0,2.0,0.6666667,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\nodes\Node.java,org.jsoup.nodes.Node,0.0,-1.0,21.0,53.0,0.7162162,-1.0,5.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\nodes\Document.java,org.jsoup.nodes.Document,15.0,0.16666667,7.0,22.0,0.7586207,0.2,5.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\UncheckedIOException.java,org.jsoup.UncheckedIOException,0.0,0.0,1.0,0.0,0.0,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\safety\Safelist.java,org.jsoup.safety.Safelist$TypedValue,0.0,-1.0,2.0,4.0,0.6666667,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\helper\Validate.java,org.jsoup.helper.Validate,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\internal\StringUtil.java,org.jsoup.internal.StringUtil$StringJoiner,0.0,-1.0,0.0,7.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$10,0.0,0.0,10.0,3.0,0.23076923,-1.0,5.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$10,0.0,0.0,0.0,7.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$11,0.0,0.0,2.0,2.0,0.5,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$11,0.0,0.0,1.0,3.0,0.75,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$12,0.0,0.0,6.0,5.0,0.45454547,-1.0,2.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$12,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$13,0.0,0.0,7.0,3.0,0.3,-1.0,3.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$13,0.0,0.0,1.0,4.0,0.8,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$14,0.0,0.0,4.0,4.0,0.5,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$14,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$15,0.0,0.0,4.0,3.0,0.42857143,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$15,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$16,0.0,0.0,9.0,4.0,0.30769232,-1.0,4.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$16,0.0,0.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$17,0.0,0.0,2.0,1.0,0.33333334,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$17,0.0,0.0,0.0,5.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\Evaluator.java,org.jsoup.select.Evaluator$ContainsText,0.0,0.5,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$18,0.0,0.0,9.0,14.0,0.6086956,-1.0,3.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$18,0.0,0.0,0.0,2.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$19,0.0,0.0,0.0,3.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\TokeniserState.java,org.jsoup.parser.TokeniserState$19,0.0,0.0,0.0,1.0,1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\select\CombiningEvaluator.java,org.jsoup.select.CombiningEvaluator,0.0,0.0,2.0,4.0,0.6666667,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\internal\StringUtil.java,org.jsoup.internal.StringUtil$1,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\nodes\Attributes.java,org.jsoup.nodes.Attributes$1,0.0,-1.0,5.0,8.0,0.61538464,-1.0,1.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\nodes\Element.java,org.jsoup.nodes.Element$1,0.0,-1.0,0.0,0.0,-1.0,-1.0,0.0
C:\Users\syuuj\jsoup\src\main\java\org\jsoup\parser\HtmlTreeBuilderState.java,org.jsoup.parser.HtmlTreeBuilderState$1,0.0,0.0,8.0,2.0,0.2,-1.0,4.0
